Date,Unemployment_rate
2023.03,2.60
2023.02,2.90
2023.01,3.30
2022.12,2.90
2022.11,2.80
2022.10,2.80
2022.09,2.50
2022.08,2.90
2022.07,2.90
2022.06,2.80
2022.05,2.70
2022.04,2.70
2022.03,2.70
2022.02,3.60
2022.01,3.80
2021.12,3.10
2021.11,3.20
2021.10,3.00
2021.09,2.80
2021.08,3.30
2021.07,3.70
2021.06,3.80
2021.05,3.70
2021.04,3.90
2021.03,4.00
2021.02,5.40
2021.01,4.60
2020.12,4.10
2020.11,4.20
2020.10,3.90
2020.09,3.20
2020.08,4.20
2020.07,4.30
2020.06,4.50
2020.05,3.80
2020.04,3.80
2020.03,3.30
2020.02,4.00
2020.01,3.80
2019.12,3.60
2019.11,3.50
2019.10,3.40
2019.09,3.10
2019.08,4.00
2019.07,4.00
2019.06,4.00
2019.05,4.10
2019.04,3.80
2019.03,3.70
